AREAGEOGRAFICA,CAPSCUOLA,CODICECOMUNESCUOLA,CODICEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONEISTITUTORIFERIMENTO,DENOMINAZIONESCUOLA,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONECOMUNE,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,INDIRIZZOSCUOLA,PROVINCIA,REGIONE,SITOWEBSCUOLA,ANNOSCOLASTICO,INDIRIZZO_TOT
NORD OVEST,10139,L219,TOEE00500L,TOEE00500L,"D.D. TORINO - ""BARICCO""","D.D. TORINO - ""BARICCO""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE00500L@istruzione.it,toee00500l@pec.istruzione.it,CORSO PESCHIERA 380,TORINO,PIEMONTE,Non Disponibile,201718,"CORSO PESCHIERA 380, TORINO, Italia"
NORD OVEST,10139,L219,TOEE00500L,TOEE00501N,"D.D. TORINO - ""BARICCO""",BARICCO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE00500L@istruzione.it,Non Disponibile,CORSO PESCHIERA 380,TORINO,PIEMONTE,http://www.scuolabaricco.gov.it,201718,"CORSO PESCHIERA 380, TORINO, Italia"
NORD OVEST,10141,L219,TOEE00500L,TOEE00505T,"D.D. TORINO - ""BARICCO""",BARICCO-FATTORI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE00500L@istruzione.it,Non Disponibile,"VIA O. CASTELLINO, 10",TORINO,PIEMONTE,htpp//www.scuolabaricco.gov.it,201718,"VIA O. CASTELLINO, 10, TORINO, Italia"
NORD OVEST,10141,L219,TOIC8AZ00C,TOAA8AZ019,I.C. TORINO - ALBERTI,I.C. ALBERTI TORINO-V.BRACC.63,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,TOIC8AZ00C@istruzione.it,Non Disponibile,VIA BRACCINI 63,TORINO,PIEMONTE,http://share.dschola.it/alberti/ic/default.aspx,201718,"VIA BRACCINI 63, TORINO, Italia"
NORD OVEST,10143,L219,TOIC8A0002,TOEE8A0014,I.C. TORINO - NIGRA,I.C. - NIGRA TORINO - GAMBARO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC8A0002@istruzione.it,Non Disponibile,VIA TALUCCHI 19,TORINO,PIEMONTE,www.nigra-to.it,201718,"VIA TALUCCHI 19, TORINO, Italia"
NORD OVEST,10126,L219,TOIC8A100T,TOEE8A101X,I.C. TORINO - VITT.DA FELTRE,I.C.VITT.DA FELTRE-PRIMARIA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC8A100T@istruzione.it,Non Disponibile,VIA FINALMARINA 5,TORINO,PIEMONTE,www.vittorinodafeltre.it,201718,"VIA FINALMARINA 5, TORINO, Italia"
NORD OVEST,10126,L219,TOIC8A100T,TOEE8A1021,I.C. TORINO - VITT.DA FELTRE,I.C.VITT.DA FELTRE -CL. PED.-TO,C/O IST. OSPEDALIERO,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC8A100T@istruzione.it,Non Disponibile,LARGO POLONIA 94,TORINO,PIEMONTE,http://share.dschola.it/ICBussoleno/default.aspx,201718,"LARGO POLONIA 94, TORINO, Italia"
NORD OVEST,10127,L219,TOIC8A200N,TOEE8A201Q,I.C. TORINO - PEYRON,I.C.  TO PEYRON - RE UMBERTO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC8A200N@istruzione.it,Non Disponibile,VIA NIZZA 395,TORINO,PIEMONTE,www.icpeyron.gov.it,201718,"VIA NIZZA 395, TORINO, Italia"
NORD OVEST,10127,L219,TOIC8A200N,TOEE8A202R,I.C. TORINO - PEYRON,I.C. TO PEYRON -V. VENTIMIGLIA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC8A200N@istruzione.it,Non Disponibile,VIA VENTIMIGLIA 128,TORINO,PIEMONTE,www.icpeyron.gov,201718,"VIA VENTIMIGLIA 128, TORINO, Italia"
NORD OVEST,10156,L219,TOIC80500E,TOEE80501L,"I.C. TORINO - ""CENA""",I.C. CENA - TORINO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC80500E@istruzione.it,Non Disponibile,STRADA SAN MAURO 32,TORINO,PIEMONTE,share.dschola.it/cenatorino/default.aspx,201718,"STRADA SAN MAURO 32, TORINO, Italia"
NORD OVEST,10156,L219,TOIC80500E,TOEE80502N,"I.C. TORINO - ""CENA""",I.C. CENA - ABBADIA DI STURA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC80500E@istruzione.it,Non Disponibile,VIA M. ANGLESIO 17,TORINO,PIEMONTE,share.dschola.it/cenatorino/default.aspx,201718,"VIA M. ANGLESIO 17, TORINO, Italia"
NORD OVEST,10156,L219,TOIC80500E,TOEE80503P,"I.C. TORINO - ""CENA""",I.C. CENA - PIETRO MICCA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC80500E@istruzione.it,Non Disponibile,STRADA BERTOLLA 50,TORINO,PIEMONTE,share.dschola.it/cenatorino/default.aspx,201718,"STRADA BERTOLLA 50, TORINO, Italia"
NORD OVEST,10144,L219,TOIC81700R,TOEE81701V,"I.C. TORINO - ""PACINOTTI""",I.C. PACINOTTI - BONCOMPAGNI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81700R@istruzione.it,Non Disponibile,VIA VIDUA 1,TORINO,PIEMONTE,www.icpacinotti.it,201718,"VIA VIDUA 1, TORINO, Italia"
NORD OVEST,10146,L219,TOEE024002,TOEE024013,"D.D. TORINO - ""DUCA D'AOSTA""",DUCA D'AOSTA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE024002@istruzione.it,Non Disponibile,VIA CAPELLI 51,TORINO,PIEMONTE,www.ddducadaosta.it,201718,"VIA CAPELLI 51, TORINO, Italia"
NORD OVEST,10146,L219,TOEE024002,TOEE024024,"D.D. TORINO - ""DUCA D'AOSTA""",DUCA D'AOSTA-ARMSTRONG,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE024002@istruzione.it,Non Disponibile,CORSO MONTE GRAPPA 81,TORINO,PIEMONTE,www.ddducadaosta.it,201718,"CORSO MONTE GRAPPA 81, TORINO, Italia"
NORD OVEST,10146,L219,TOEE024002,TOEE024035,"D.D. TORINO - ""DUCA D'AOSTA""",DUCA D'AOSTA - CALVINO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE024002@istruzione.it,Non Disponibile,VIA ZUMAGLIA 41,TORINO,PIEMONTE,www.ddducadaosta.it,201718,"VIA ZUMAGLIA 41, TORINO, Italia"
NORD OVEST,10137,L219,TOEE02500T,TOEE02501V,D.D. MAZZARELLO -  TORINO,D.D. MAZZARELLO VIA COLLINO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE02500T@istruzione.it,Non Disponibile,VIA COLLINO 12,TORINO,PIEMONTE,www.francamazzarello.it,201718,"VIA COLLINO 12, TORINO, Italia"
NORD OVEST,10137,L219,TOEE02500T,TOEE025042,D.D. MAZZARELLO -  TORINO,D.D. MAZZARELLO-VIDARI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE02500T@istruzione.it,Non Disponibile,VIA SAN REMO 46,TORINO,PIEMONTE,http://www.francamazzarello.it,201718,"VIA SAN REMO 46, TORINO, Italia"
NORD OVEST,10156,L219,TOEE02700D,TOEE02700D,"D.D. TORINO - ""FRANK""","D.D. TORINO - ""FRANK""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE02700D@istruzione.it,toee02700d@pec.istruzione.it,"VIA CAVAGNOLO, 35",TORINO,PIEMONTE,Non Disponibile,201718,"VIA CAVAGNOLO, 35, TORINO, Italia"
NORD OVEST,10155,L219,TOEE02700D,TOEE02701E,"D.D. TORINO - ""FRANK""",FRANK,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE02700D@istruzione.it,Non Disponibile,VIA VALLAURI 24,TORINO,PIEMONTE,wwwannafrank.it,201718,"VIA VALLAURI 24, TORINO, Italia"
NORD OVEST,10155,L219,TOEE02700D,TOEE02702G,"D.D. TORINO - ""FRANK""",FRANK-XXV APRILE,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE02700D@istruzione.it,Non Disponibile,VIA CAVAGNOLO 35,TORINO,PIEMONTE,wwwannafrank.it,201718,"VIA CAVAGNOLO 35, TORINO, Italia"
NORD OVEST,10156,L219,TOEE02700D,TOEE02703L,"D.D. TORINO - ""FRANK""",FRANK-GIACHINO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE02700D@istruzione.it,Non Disponibile,"VIA CAMPOBASSO, 11",TORINO,PIEMONTE,wwwannafrank.it,201718,"VIA CAMPOBASSO, 11, TORINO, Italia"
NORD OVEST,10154,L219,TOEE029005,TOEE029016,"D.D. TORINO - ""GABELLI""",GABELLI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE029005@istruzione.it,Non Disponibile,"VIA SANTHIA, 25",TORINO,PIEMONTE,www.arigabelli.gov.it,201718,"VIA SANTHIA, 25, TORINO, Italia"
NORD OVEST,10155,L219,TOEE029005,TOEE029027,"D.D. TORINO - ""GABELLI""",GABELLI - PESTALOZZI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE029005@istruzione.it,Non Disponibile,"VIA BANFO, 32",TORINO,PIEMONTE,www.arigabelli.gov.it,201718,"VIA BANFO, 32, TORINO, Italia"
NORD OVEST,10125,L219,TOIC81900C,TOEE81901E,I.C. MANZONI TORINO,I.C. MANZONI - RAYNERI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81900C@istruzione.it,Non Disponibile,CORSO MARCONI 28,TORINO,PIEMONTE,www.icmanzoni.gov.it,201718,"CORSO MARCONI 28, TORINO, Italia"
NORD OVEST,10135,L219,TOIC82000L,TOEE82001P,"I.C. TORINO - ""SALVEMINI""",I.C. SALVEMINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC82000L@istruzione.it,Non Disponibile,VIA NEGARVILLE 30/6,TORINO,PIEMONTE,http://www.ic-salvemini-torino.it,201718,"VIA NEGARVILLE 30/6, TORINO, Italia"
NORD OVEST,10135,L219,TOIC82000L,TOEE82002Q,"I.C. TORINO - ""SALVEMINI""",I.C. SALVEMINI - ELSA MORANTE,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC82000L@istruzione.it,Non Disponibile,"PIAZZETTA JONA, 4",TORINO,PIEMONTE,http://www.ic-salvemini-torino.it,201718,"PIAZZETTA JONA, 4, TORINO, Italia"
NORD OVEST,10154,L219,TOEE029005,TOEE029005,"D.D. TORINO - ""GABELLI""","D.D. TORINO - ""GABELLI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE029005@istruzione.it,toee029005@pec.istruzione.it,"VIA SANTHIA, 25",TORINO,PIEMONTE,Non Disponibile,201718,"VIA SANTHIA, 25, TORINO, Italia"
NORD OVEST,10123,L219,TOIC815005,TOEE815017,"I.C. TORINO - ""TOMMASEO""",I.C. TOMMASEO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC815005@istruzione.it,Non Disponibile,VIA DEI MILLE 15,TORINO,PIEMONTE,www.tommaseo.it,201718,"VIA DEI MILLE 15, TORINO, Italia"
NORD OVEST,10124,L219,TOIC815005,TOEE815028,"I.C. TORINO - ""TOMMASEO""",I.C. TOMMASEO-F.D'ASSISI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC815005@istruzione.it,Non Disponibile,VIA GIULIA DI BAROLO 8,TORINO,PIEMONTE,www.tommaseo.it,201718,"VIA GIULIA DI BAROLO 8, TORINO, Italia"
NORD OVEST,10142,L219,TOIC816001,TOEE816013,"I.C. TORINO - ""KING-MILA""",PRIMARIA KING -DON MURIALDO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC816001@istruzione.it,Non Disponibile,VIA DON MURIALDO 9/A,TORINO,PIEMONTE,icking-to.it,201718,"VIA DON MURIALDO 9/A, TORINO, Italia"
NORD OVEST,10142,L219,TOIC816001,TOEE816024,"I.C. TORINO - ""KING-MILA""",PRIMARIA KING -C.SO FRANCIA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC816001@istruzione.it,Non Disponibile,C.SO FRANCIA 377,TORINO,PIEMONTE,icking-to.it,201718,"C.SO FRANCIA 377, TORINO, Italia"
NORD OVEST,10141,L219,TOIC816001,TOEE816035,"I.C. TORINO - ""KING-MILA""",PRIMARIA R. AGAZZI-V.CHAMBERY,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC816001@istruzione.it,Non Disponibile,VIA CHAMBERY 33,TORINO,PIEMONTE,icking-to.gov.it,201718,"VIA CHAMBERY 33, TORINO, Italia"
NORD OVEST,10127,L219,TOIC866002,TOEE866014,"I.C. TORINO - ""CAIROLI""",IC CAIROLI V. RISMONDO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC866002@istruzione.it,Non Disponibile,"VIA RISMONDO, 68",TORINO,PIEMONTE,www.scuolacairoli.it,201718,"VIA RISMONDO, 68, TORINO, Italia"
NORD OVEST,10127,L219,TOIC866002,TOEE866025,"I.C. TORINO - ""CAIROLI""",IC CAIROLI - CAIROLI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC866002@istruzione.it,Non Disponibile,VIA TORRAZZA PIEMONTE 10,TORINO,PIEMONTE,www.scuolacairoli.it,201718,"VIA TORRAZZA PIEMONTE 10, TORINO, Italia"
NORD OVEST,Non Disponibile,L219,TOMM32500B,TOEE70601G,CPIA 3 TORINO,"CARCERE MINORILE  ""FERRANTE APORTI""",SPEC. PER CARCERARI,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOMM32500B@istruzione.it,Non Disponibile,"VIA BERRUTI E FERRERO, 3",TORINO,PIEMONTE,http://share.dschola.it/ddmarconi/default.aspx,201718,"VIA BERRUTI E FERRERO, 3, TORINO, Italia"
NORD OVEST,10151,L219,TOMM32300Q,TOEE71401E,CPIA 1 TORINO,CASA CIRCONDARIALE,SPEC. PER CARCERARI,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOMM32300Q@istruzione.it,Non Disponibile,VIA PIANEZZA 300,TORINO,PIEMONTE,Non Disponibile,201718,"VIA PIANEZZA 300, TORINO, Italia"
NORD OVEST,10135,L219,TOEE01400B,TOEE01401C,"D.D. TORINO - ""COLLODI""",COLLODI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01400B@istruzione.it,Non Disponibile,CORSO B. CROCE 26,TORINO,PIEMONTE,www.scuolaelementarecolloditorino.it,201718,"CORSO B. CROCE 26, TORINO, Italia"
NORD OVEST,10135,L219,TOEE01400B,TOEE01404G,"D.D. TORINO - ""COLLODI""",COLLODI - RODARI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01400B@istruzione.it,Non Disponibile,VIA PIACENZA 16,TORINO,PIEMONTE,www.scuolaelementarecolloditorino.it,201718,"VIA PIACENZA 16, TORINO, Italia"
NORD OVEST,10129,L219,TOEE016003,TOEE016003,"D.D.  TORINO - ""COPPINO""","D.D.  TORINO - ""COPPINO""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE016003@istruzione.it,toee016003@pec.istruzione.it,VIA COLOMBO 36,TORINO,PIEMONTE,Non Disponibile,201718,"VIA COLOMBO 36, TORINO, Italia"
NORD OVEST,10143,L219,TOIC81700R,TOEE817031,"I.C. TORINO - ""PACINOTTI""",I.C. PACINOTTI-PRIM. MANZONI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81700R@istruzione.it,Non Disponibile,CORSO SVIZZERA 59/61,TORINO,PIEMONTE,www.icpacinotti.it,201718,"CORSO SVIZZERA 59/61, TORINO, Italia"
NORD OVEST,10132,L219,TOIC81800L,TOEE81801P,"I.C. TORINO - ""GOZZI-OLIVETTI""",IC OLIVETTI-GASPARE GOZZI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81800L@istruzione.it,Non Disponibile,VIA GASSINO 13,TORINO,PIEMONTE,http://www.gozzi-olivetti.org,201718,"VIA GASSINO 13, TORINO, Italia"
NORD OVEST,10132,L219,TOIC81800L,TOEE81803R,"I.C. TORINO - ""GOZZI-OLIVETTI""",IC OLIVETTI-GIOVANNI VILLATA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81800L@istruzione.it,Non Disponibile,VIA BEATO CAFASSO 73,TORINO,PIEMONTE,http://www.gozzi-olivetti.org,201718,"VIA BEATO CAFASSO 73, TORINO, Italia"
NORD OVEST,10132,L219,TOIC81800L,TOEE81804T,"I.C. TORINO - ""GOZZI-OLIVETTI""",IC OLIVETTI-VITTORIO AMEDEO II,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81800L@istruzione.it,Non Disponibile,STRADA MONGRENO 53,TORINO,PIEMONTE,http://gozzi-olivetti.org,201718,"STRADA MONGRENO 53, TORINO, Italia"
NORD OVEST,10129,L219,TOEE016003,TOEE016014,"D.D.  TORINO - ""COPPINO""",COPPINO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE016003@istruzione.it,Non Disponibile,VIA COLOMBO 36,TORINO,PIEMONTE,www.circolodidatticocoppino.it,201718,"VIA COLOMBO 36, TORINO, Italia"
NORD OVEST,10129,L219,TOEE016003,TOEE016047,"D.D.  TORINO - ""COPPINO""",COPPINO - FALLETTI DI BAROLO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE016003@istruzione.it,Non Disponibile,VIA CASSINI 98,TORINO,PIEMONTE,www.circolodidatticocoppino.it,201718,"VIA CASSINI 98, TORINO, Italia"
NORD OVEST,10128,L219,TOEE016003,TOEE016058,"D.D.  TORINO - ""COPPINO""",COPPINO - RIGNON,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE016003@istruzione.it,Non Disponibile,VIA MASSENA 39,TORINO,PIEMONTE,www.circolodidatticocoppino.it,201718,"VIA MASSENA 39, TORINO, Italia"
NORD OVEST,10151,L219,TOEE01700V,TOEE01700V,D.D. COSTA - TORINO,D.D. COSTA - TORINO,NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE01700V@istruzione.it,toee01700v@pec.istruzione.it,VIA AMBROSINI 1,TORINO,PIEMONTE,Non Disponibile,201718,"VIA AMBROSINI 1, TORINO, Italia"
NORD OVEST,10151,L219,TOEE01700V,TOEE01701X,D.D. COSTA - TORINO,D.D. COSTA - VIA AMBROSINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01700V@istruzione.it,Non Disponibile,VIA AMBROSINI 1,TORINO,PIEMONTE,http://ddninocostatorino.gov.it/,201718,"VIA AMBROSINI 1, TORINO, Italia"
NORD OVEST,10149,L219,TOEE01700V,TOEE017032,D.D. COSTA - TORINO,D.D. COSTA - GOZZANO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01700V@istruzione.it,Non Disponibile,CORSO TOSCANA 88,TORINO,PIEMONTE,Non Disponibile,201718,"CORSO TOSCANA 88, TORINO, Italia"
NORD OVEST,10131,L219,TOEE01800P,TOEE01801Q,"D.D. TORINO - ""D'AZEGLIO""",D'AZEGLIO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01800P@istruzione.it,Non Disponibile,"VIA SANTORRE DI SANTAROSA,11",TORINO,PIEMONTE,share.dschola.it/rdazeglioto/default.aspx,201718,"VIA SANTORRE DI SANTAROSA,11, TORINO, Italia"
NORD OVEST,10133,L219,TOEE01800P,TOEE01805X,"D.D. TORINO - ""D'AZEGLIO""",D'AZEGLIO-DON BOSCO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01800P@istruzione.it,Non Disponibile,VIA MANARA 10,TORINO,PIEMONTE,share.dschola.it/rdazeglioto/default.aspx,201718,"VIA MANARA 10, TORINO, Italia"
NORD OVEST,10131,L219,TOEE01800P,TOEE018061,"D.D. TORINO - ""D'AZEGLIO""",D'AZEGLIO- SAN GIACOMO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01800P@istruzione.it,Non Disponibile,STRADA SAN VINCENZO 44,TORINO,PIEMONTE,share.dschola.it/rdazeglioto/default.aspx,201718,"STRADA SAN VINCENZO 44, TORINO, Italia"
NORD OVEST,10146,L219,TOEE024002,TOEE024002,"D.D. TORINO - ""DUCA D'AOSTA""","D.D. TORINO - ""DUCA D'AOSTA""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE024002@istruzione.it,toee024002@pec.istruzione.it,VIA CAPELLI 51,TORINO,PIEMONTE,Non Disponibile,201718,"VIA CAPELLI 51, TORINO, Italia"
NORD OVEST,10131,L219,TOIC86400A,TOEE86401C,"I.C. TORINO - ""SPINELLI""",SC.INTERN.EUROPEA A.SPINELLI-TO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC86400A@istruzione.it,Non Disponibile,"VIA SAN SEBASTIANO PO, 6",TORINO,PIEMONTE,www.istitutoaltierospinelli.eu,201718,"VIA SAN SEBASTIANO PO, 6, TORINO, Italia"
NORD OVEST,10156,L219,TOIC808002,TOEE808014,"I.C. TORINO - ""L. DA VINCI""",I.C. L.DA VINCI - NERUDA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC808002@istruzione.it,Non Disponibile,VIA ABETI 13,TORINO,PIEMONTE,http://icleonardodavincitorino.it/index.html,201718,"VIA ABETI 13, TORINO, Italia"
NORD OVEST,10156,L219,TOIC808002,TOEE808025,"I.C. TORINO - ""L. DA VINCI""",I.C. L.DA VINCI - AMBROSINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC808002@istruzione.it,Non Disponibile,VIA DEI PIOPPI 45,TORINO,PIEMONTE,http://icleonardodavincitorino.it/index.html,201718,"VIA DEI PIOPPI 45, TORINO, Italia"
NORD OVEST,10149,L219,TOEE18200V,TOEE18201X,"D.D. TORINO - ""ALERAMO""",D.D. ALERAMO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE18200V@istruzione.it,Non Disponibile,"VIA LEMIE, 48",TORINO,PIEMONTE,scuola-aleramo-torino.it,201718,"VIA LEMIE, 48, TORINO, Italia"
NORD OVEST,10147,L219,TOEE18200V,TOEE182043,"D.D. TORINO - ""ALERAMO""",B.V. CAMPAGNA - ANGELINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE18200V@istruzione.it,Non Disponibile,VIA CARDINAL MASSAIA 113,TORINO,PIEMONTE,scuola-aleramo-torino.it,201718,"VIA CARDINAL MASSAIA 113, TORINO, Italia"
NORD OVEST,10144,L219,TOIC81700R,TOEE81702X,"I.C. TORINO - ""PACINOTTI""",I.C. PACINOTTI - DE FILIPPO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC81700R@istruzione.it,Non Disponibile,VIA FOSSANO 16,TORINO,PIEMONTE,www.icpacinotti.it,201718,"VIA FOSSANO 16, TORINO, Italia"
NORD OVEST,10137,L219,TOEE01100X,TOEE01100X,"D.D. TORINO - ""CASALEGNO""","D.D. TORINO - ""CASALEGNO""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE01100X@istruzione.it,toee01100x@pec.istruzione.it,VIA ACCIARINI 20,TORINO,PIEMONTE,Non Disponibile,201718,"VIA ACCIARINI 20, TORINO, Italia"
NORD OVEST,10137,L219,TOEE01100X,TOEE011011,"D.D. TORINO - ""CASALEGNO""",CASALEGNO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01100X@istruzione.it,Non Disponibile,VIA ACCIARINI 20,TORINO,PIEMONTE,http://www.ddcasalegno.gov.it,201718,"VIA ACCIARINI 20, TORINO, Italia"
NORD OVEST,10152,L219,TOIC87700C,TOEE87701E,I.C. TORINO - REGIO PARCO,I.C. REGIO PARCO- LESSONA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC87700C@istruzione.it,Non Disponibile,CORSO REGIO PARCO 19,TORINO,PIEMONTE,www.icregioparco.gov.it,201718,"CORSO REGIO PARCO 19, TORINO, Italia"
NORD OVEST,10151,L219,TOIC873005,TOEE873017,I.C. TORINO - P. GEMELLI,I.C. PADRE GEMELLI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC873005@istruzione.it,Non Disponibile,CORSO LOMBARDIA 98,TORINO,PIEMONTE,www.padregemelli.it,201718,"CORSO LOMBARDIA 98, TORINO, Italia"
NORD OVEST,10137,L219,TOEE01100X,TOEE011022,"D.D. TORINO - ""CASALEGNO""",CASALEGNO-DON MILANI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE01100X@istruzione.it,Non Disponibile,VIA SAN MARINO 107,TORINO,PIEMONTE,http://www.ddcasalegno.gov.it,201718,"VIA SAN MARINO 107, TORINO, Italia"
NORD OVEST,10135,L219,TOEE01400B,TOEE01400B,"D.D. TORINO - ""COLLODI""","D.D. TORINO - ""COLLODI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE01400B@istruzione.it,toee01400b@pec.istruzione.it,CORSO B. CROCE 26,TORINO,PIEMONTE,Non Disponibile,201718,"CORSO B. CROCE 26, TORINO, Italia"
NORD OVEST,10149,L219,TOIC873005,TOEE873028,I.C. TORINO - P. GEMELLI,I.C.PADRE GEMELLI-MARGH.SAVOIA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC873005@istruzione.it,Non Disponibile,VIA THOUAR 2,TORINO,PIEMONTE,www.padregemelli.it,201718,"VIA THOUAR 2, TORINO, Italia"
NORD OVEST,10151,L219,TOIC810002,TOEE810014,"I.C. TORINO - ""D. M. TUROLDO""",I.C. D.M.TUROLDO-LEOPARDI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC810002@istruzione.it,Non Disponibile,VIA DELLE VERBENE 6,TORINO,PIEMONTE,www.ic-turoldo.it,201718,"VIA DELLE VERBENE 6, TORINO, Italia"
NORD OVEST,10151,L219,TOIC810002,TOEE810025,"I.C. TORINO - ""D. M. TUROLDO""",I.C. D.M.TUROLDO-GIANELLI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC810002@istruzione.it,Non Disponibile,VIALE MUGHETTI 29/1,TORINO,PIEMONTE,www.ic-turoldo.it,201718,"VIALE MUGHETTI 29/1, TORINO, Italia"
