WKT_GEOM;ID_CHIESA;FK_TIPO_CH;TIPO_CHIES;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ZONA_VICAR;UNITA_PAST;PARROCCO;CONFESSION;ORARIO;COD_DIOCES;ABIT_PARRO;NOM_U_PAST;COORD_X;COORD_Y
POINT (1396088.077 4991155.903);177;2;NON PARROCCHIALE;Visitazione;VIA VENTI SETTEMBRE 23;TORINO;10121;1;011/543979;;;;;;;Chiesa Cattolica;"Fest. 11.30-12.15-17.30; Prefest. 18.15";;;;1396088,077;4991155,903
POINT (1400295.204 4993552.42);301;2;NON PARROCCHIALE;Gesu' Maestro (B.ta Rosa);STRADA DEL MEISINO 23;TORINO;10132;7;0118991810;;;;;;;Chiesa Cattolica;Fest.11: Prefest. 17;;;;1400295,204;4993552,42
POINT (1399574.13 4992176.839);69;1;PARROCCHIALE;S. Giulio d'Orta;CORSO CADORE 17 int. 3;TORINO;10153;7;011 8995632;;parr.s.g.orta@diocesi.torino.it;http://www.diocesi.torino.it/parr072;6;16;BOSA don Silvano;Chiesa Cattolica;;72;8650;Unita' Pastorale N.16 - Santa Croce;1399574,13;4992176,839
POINT (1398267.665 4996820.453);83;1;PARROCCHIALE;S. Michele Arcangelo;CORSO VERCELLI 396;TORINO;10156;6;011 2621792;;;http://www4.diocesi.torino.it/schede/parr086.htm;7;15;AMORE don Antonio;Chiesa Cattolica;;86;4440;Unita' Pastorale N.15 - Rebaudengo-Falchera;1398267,665;4996820,453
POINT (1393704.38 4985278.735);90;1;PARROCCHIALE;S. Remigio Vescovo;VIA DOMENICO MILLELIRE 51;TORINO;10127;2;011 6053694;;;http://www4.diocesi.torino.it/schede/parr093.htm;9;20;PERLO don Bartolo;Chiesa Cattolica;;93;9080;Unita' Pastorale N.20 - Mirafiori sud;1393704,38;4985278,735
POINT (1399618.031 4991540.567);23;1;PARROCCHIALE;Madonna del Pilone;CORSO CASALE 195;TORINO;10132;7;011 8980448;011 8980448;;http://www.creasitogratis.net/madonnadelpilone;10;23;TESIO don Giovanni;Chiesa Cattolica;;23;3750;Unita' Pastorale N.23 - Sassi;1399618,031;4991540,567
POINT (1394013.89 4992119.513);35;1;PARROCCHIALE;Maria Regina delle Missioni;VIA COAZZE 21;TORINO;10138;3;011 4331568;;;http://www4.diocesi.torino.it/schede/parr035.htm;4;9;MORETTI padre Pietro Luigi I.M.C.;Chiesa Cattolica;;35;5050;Unita' Pastorale N.09 - S.Alfonso;1394013,89;4992119,513
POINT (1393828.304 4995522.495);47;1;PARROCCHIALE;S. Ambrogio Vescovo;CORSO L. QUINZIO CINCINNATO 225;TORINO;10151;5;011 7390045;;parr.s.ambrogio@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr049.htm;5;11;CANAVESIO don Mario;Chiesa Cattolica;;49;6110;Unita' Pastorale N.11 - Lucento;1393828,304;4995522,495
POINT (1396626.431 4992621.974);62;1;PARROCCHIALE;S. Gioacchino;VIA VITTORIO AMEDEO CIGNAROLI 3;TORINO;10152;7;011 4365831;011 4362797;parr.s.gioacchino@diocesi.torino.it;http://www.diocesi.torino.it/parr066;7;14;OKON padre Benjamin;Chiesa Cattolica;;66;14000;Unita' Pastorale N.14 - Barriera di Milano;1396626,431;4992621,974
POINT (1391400.058 4992676.461);81;1;PARROCCHIALE;S. Maria Goretti;VIA VITTORIO ACTIS 20;TORINO;10146;4;011 7794827;011 7731517;parr.s.maria.goretti@diocesi.torino.it;http://www.smgoretti.it/home.php;4;10;GAZZANO don Emilio;Chiesa Cattolica;;84;10500;Unita' Pastorale N.10 - Parella;1391400,058;4992676,461
POINT (1392373.365 4988910.679);18;1;PARROCCHIALE;La Pentecoste;VIA FILADELFIA 237 int. 11;TORINO;10137;2;011 3114868;011 3114868;parr.pentecoste@diocesi.torino.it;http://www.diocesi.torino.it/parr018;8;19;MONTICONE don Domenico;Chiesa Cattolica;;18;9920;Unita' Pastorale N.19 - Mirafiori Nord;1392373,365;4988910,679
POINT (1394491.161 4996253.894);49;1;PARROCCHIALE;S. Antonio Abate;PIAZZA STAMPALIA 17/A;TORINO;10148;5;011 2264559;011 2264559;parr.s.antonio@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr051.htm;5;12;REBURDO don Felice Francesco;Chiesa Cattolica;;51;9500;Unita' Pastorale N.12 - Santo Volto;1394491,161;4996253,894
POINT (1397591.019 4990686.288);15;1;PARROCCHIALE;Gran Madre di Dio;PIAZZA GRAN MADRE DI DIO 4;TORINO;10131;8;011 8193572;;;http://www4.diocesi.torino.it/schede/parr015.htm;10;22;MENZIO don Sandro;Chiesa Cattolica;;15;6030;Unita' Pastorale N.22 - Cavoretto;1397591,019;4990686,288
POINT (1395878.163 4985899.656);29;1;PARROCCHIALE;Madonna di Fatima;VIA ORISTANO 8/A;TORINO;10133;8;011 6610656;011 6615948;;http://www4.diocesi.torino.it/schede/parr029.htm;10;22;SCAVINO don Maurilio;Chiesa Cattolica;;29;3300;Unita' Pastorale N.22 - Cavoretto;1395878,163;4985899,656
POINT (1395228.213 4987733.955);42;1;PARROCCHIALE;Patrocinio di S. Giuseppe;VIA PIETRO BAIARDI 8;TORINO;10126;8;011 6960422;;parr.patrocinio@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr042.htm;9;21;D'ARIA don Daniele;Chiesa Cattolica;;42;11000;Unita' Pastorale N.21 - Lingotto;1395228,213;4987733,955
POINT (1392145.898 4993043.671);57;1;PARROCCHIALE;S. Ermenegildo Re e Martire;CORSO BERNARDINO TELESIO 98;TORINO;10146;4;011 798097;011 798097;sdenis@unodinoicom.it;http://www4.diocesi.torino.it/schede/parr060.htm;4;10;ROGALA padre Stanislaw M.S.;Chiesa Cattolica;;60;8000;Unita' Pastorale N.10 - Parella;1392145,898;4993043,671
POINT (1401394.777 4994864.293);73;1;PARROCCHIALE;S. Grato in Bertolla;STRADA BERTOLLA 113;TORINO;10156;6;011 2730187;;;http://www4.diocesi.torino.it/schede/parr076.htm;6;16;CALZONI don Alberto;Chiesa Cattolica;;76;2610;Unita' Pastorale N.16 - Santa Croce;1401394,777;4994864,293
POINT (1396465.401 4987065.059);88;1;PARROCCHIALE;S. Pietro in Vincoli;VIA S. ROCCO 29;TORINO;10133;8;011 6612392;;;http://www4.diocesi.torino.it/schede/parr091.htm;10;22;FINI don Paolo;Chiesa Cattolica;;91;3980;Unita' Pastorale N.22 - Cavoretto;1396465,401;4987065,059
POINT (1396113.186 4992227.19);45;1;PARROCCHIALE;S. Agostino Vescovo;VIA S. CHIARA 9;TORINO;10122;1;011 4368833;011 4360185;parr.s.agostino@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr047.htm;1;1;PACINI can. Andrea;Chiesa Cattolica;;47;2550;Unita' Pastorale N.01 - Cattedrale;1396113,186;4992227,19
POINT (1395992.317 4992058.707);55;1;PARROCCHIALE;S. Dalmazzo Martire;VIA DELLE ORFANE 3;TORINO;10122;1;011 4366628;;;http://www4.diocesi.torino.it/schede/parr058.htm;1;1;ROSSI padre Fabrizio B.;Chiesa Cattolica;;58;1900;Unita' Pastorale N.01 - Cattedrale;1395992,317;4992058,707
POINT (1395213.409 4989817.932);30;1;PARROCCHIALE;Madonna di Pompei;VIA S. SECONDO 90;TORINO;10128;1;011 5681479;011 2274302;parr.madonna.pompei@diocesi.torino.it;http://www.madonnadipompei.org;2;3;PACIFICO don Luca;Chiesa Cattolica;;30;5500;Unita' Pastorale N.03 - Crocetta;1395213,409;4989817,932
POINT (1393510.113 4991833.209);87;1;PARROCCHIALE;S. Pellegrino Laziosi;CORSO RACCONIGI 28;TORINO;10139;3;011 3852771;011 338093;;http://www4.diocesi.torino.it/schede/parr090.htm;3;5;CASTRICINI padre Bruno M. O.S.M.;Chiesa Cattolica;;90;12000;Unita' Pastorale N.05 - S.Paolo;1393510,113;4991833,209
POINT (1391958.024 4991885.922);38;1;PARROCCHIALE;Nativita' di Maria Vergine;VIA BARDONECCHIA 161;TORINO;10141;3;011 7790560;011 7728526;parr.nativita.maria@diocesi.torino.it;http://parrocchie.diocesi.torino.it/parr038/;3;6;PERUCCA don Enrico;Chiesa Cattolica;;38;15000;Unita' Pastorale N.06 - Pozzo Strada;1391958,024;4991885,922
POINT (1393528.547 4992598.024);48;1;PARROCCHIALE;S. Anna;VIA BRIONE 40;TORINO;10143;4;011 7496103;011 7496103;;http://www4.diocesi.torino.it/schede/parr050.htm;4;9;PAVANELLO don Davide;Chiesa Cattolica;;50;14200;Unita' Pastorale N.09 - S.Alfonso;1393528,547;4992598,024
POINT (1392138.899 4995350.521);100;1;PARROCCHIALE;Santa Famiglia di Nazareth;VIALE DEI MUGHETTI 22/A;TORINO;10151;5;011 731185;011 7391521;parrocchia.s.f.n@libero.it;http://www4.diocesi.torino.it/schede/parr061.htm;5;11;BOZZI padre Ugo F.D.P.;Chiesa Cattolica;;61;8060;Unita' Pastorale N.11 - Lucento;1392138,899;4995350,521
POINT (1396000.657 4994335.063);41;1;PARROCCHIALE;Nostra Signora della Salute;VIA VIBO' 24;TORINO;10147;5;011 210523;011 2218151;parr.salute@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr041.htm;5;13;CORNALE padre Elvio Agostino C.S.I.;Chiesa Cattolica;;41;17100;Unita' Pastorale N.13 - Madonna di Campagna;1396000,657;4994335,063
POINT (1395874.277 4995239.641);96;1;PARROCCHIALE;S. Vincenzo de' Paoli;VIA SOSPELLO 124;TORINO;10147;5;011 296720;011 2216391;parr.s.vincenzo@diocesi.torino.it;http://www.diocesi.torino.it/parr099;5;13;CENA don Andrea;Chiesa Cattolica;;99;6500;Unita' Pastorale N.13 - Madonna di Campagna;1395874,277;4995239,641
POINT (1398827.104 4998421.791);14;1;PARROCCHIALE;Gesu' Salvatore;VIA DEGLI ULIVI 25;TORINO;10156;6;011 2623645;011 2621863;;http://www4.diocesi.torino.it/schede/parr014.htm;7;15;MONTANELLI don Adelino;Chiesa Cattolica;;14;3610;Unita' Pastorale N.15 - Rebaudengo-Falchera;1398827,104;4998421,791
POINT (1400118.776 4994939.81);61;1;PARROCCHIALE;S. Giacomo Apostolo;VIA DAMIANO CHIESA 53;TORINO;10156;6;011 2730537;011 2749991;parr.s.giacomo@diocesi.torino.it;http://www.diocesi.torino.it/parr065;6;16;CALZONI don Alberto;Chiesa Cattolica;;65;9760;Unita' Pastorale N.16 - Santa Croce;1400118,776;4994939,81
POINT (1393738.297 4987756.218);27;1;PARROCCHIALE;Madonna delle Rose;VIA ROSARIO SANTA FE' 7;TORINO;10134;8;011 3190216;011 3190216;parr.madonna.rose@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr027.htm;8;17;MAZZOLENI padre Mario O.P.;Chiesa Cattolica;;27;20200;Unita' Pastorale N.17 - Santa Rita;1393738,297;4987756,218
POINT (1391655.966 4985952.716);5;1;PARROCCHIALE;Beati Parroci Federico Albert e Clemente Marchisio;VIA MONTE CENGIO 8;TORINO;10135;2;011 3978477;011 3471263;beati.parroci@virgilio.it;http://www4.diocesi.torino.it/schede/parr006.htm;9;20;FASSIO don Corrado;Chiesa Cattolica;;6;7500;Unita' Pastorale N.20 - Mirafiori sud;1391655,966;4985952,716
POINT (1394763.122 4986349.669);2;1;PARROCCHIALE;Assunzione di Maria Vergine - Lingotto;VIA NIZZA 355;TORINO;10127;8;011 6965802;011 6315049;parr.lingotto@torino.chiesacattolica.it;http://www4.diocesi.torino.it/schede/parr003.htm;9;21;COHA don Giuseppe;Chiesa Cattolica;;3;13200;Unita' Pastorale N.21 - Lingotto;1394763,122;4986349,669
POINT (1401868.213 4990583.494);74;1;PARROCCHIALE;S. Grato in Mongreno;STRADA MONGRENO 344;TORINO;10132;7;011 890676;;;http://www4.diocesi.torino.it/schede/parr077.htm;10;23;AUDISIO don Stefano;Chiesa Cattolica;;;;Unita' Pastorale N.23 - Sassi;1401868,213;4990583,494
POINT (1395822.694 4992189.129);22;1;PARROCCHIALE;Madonna del Carmine;VIA DEL CARMINE 3;TORINO;10122;1;011 4369525;;;http://www4.diocesi.torino.it/schede/parr022.htm;1;1;GAUDE don Pier Giuseppe;Chiesa Cattolica;;22;;Unita' Pastorale N.01 - Cattedrale;1395822,694;4992189,129
POINT (1401179.464 4990202.437);3;1;PARROCCHIALE;Assunzione di Maria Vergine - Reaglie;STRADA DI REAGLIE 1;TORINO;10132;7;346 0840103;;;http://www4.diocesi.torino.it/schede/parr004.htm;10;23;COLLO can. Carlo;Chiesa Cattolica;;4;1050;Unita' Pastorale N.23 - Sassi;1401179,464;4990202,437
POINT (1396204.438 4993733.214);10;1;PARROCCHIALE;Gesu' Crocifisso e Madonna delle Lacrime;VIA GIAVENO 39;TORINO;10152;7;011 238332;;;http://www4.diocesi.torino.it/schede/parr010.htm;7;14;CHEULA don Stefano;Chiesa Cattolica;;10;7925;Unita' Pastorale N.14 - Barriera di Milano;1396204,438;4993733,214
POINT (1393954.087 4986611.859);17;1;PARROCCHIALE;Immacolata Concezione e S. Giovanni Battista;VIA MONTE CORNO 36;TORINO;10127;8;011 /3171351;011 3035230;parr.immacolata.lingotto@diocesi.torino.it;http://www.diocesi.torino.it/parr017;9;21;FASSINO don Fabrizio;Chiesa Cattolica;;17;7000;Unita' Pastorale N.21 - Lingotto;1393954,087;4986611,859
POINT (1400337.136 4992659.498);24;1;PARROCCHIALE;Madonna del Rosario;PIAZZA GIOVANNI DALLE BANDE NERE 15;TORINO;10132;7;011 8980192;;;http://www4.diocesi.torino.it/schede/parr024.htm;10;23;AUDISIO don Stefano;Chiesa Cattolica;;24;4740;Unita' Pastorale N.23 - Sassi;1400337,136;4992659,498
POINT (1395814.086 4992763.315);31;1;PARROCCHIALE;Maria Ausiliatrice;PIAZZA MARIA AUSILIATRICE 9;TORINO;10152;7;011 5224650;011 5224690;;http://www4.diocesi.torino.it/schede/parr031.htm;7;1;DURANDO don Claudio S.D.B.;Chiesa Cattolica;;31;11250;Unita' Pastorale N.01 - Cattedrale;1395814,086;4992763,315
POINT (1397158.792 4993726.012);34;1;PARROCCHIALE;Maria Regina della Pace;VIA MALONE 19;TORINO;10154;6;011 2482816;011 2472800;mariareginadellapace@gmail.com;http://mariareginadellapace.110mb.com;7;14;PIZZOMIGLIO padre Ottaviano O.M.V.;Chiesa Cattolica;;34;19130;Unita' Pastorale N.14 - Barriera di Milano;1397158,792;4993726,012
POINT (1398776.488 4991209.288);40;1;PARROCCHIALE;Nostra Signora del SS. Sacramento;VIA CASALBORGONE 16;TORINO;10132;7;011 8191531;011 8191531;;http://www4.diocesi.torino.it/schede/parr040.htm;10;23;ISSOGLIO don Aldo;Chiesa Cattolica;;40;6000;Unita' Pastorale N.23 - Sassi;1398776,488;4991209,288
POINT (1394171.362 4992851.675);46;1;PARROCCHIALE;S. Alfonso Maria de' Liguori;VIA NETRO 3;TORINO;10143;4;011 740485;011 7712403;parr.s.alfonso@diocesi.torino.it;http://www.diocesi.torino.it/parr048;4;9;CHIAUSSA don Davide;Chiesa Cattolica;;48;14800;Unita' Pastorale N.09 - S.Alfonso;1394171,362;4992851,675
POINT (1393449.788 4990758.02);52;1;PARROCCHIALE;S. Bernardino da Siena;VIA S. BERNARDINO 13;TORINO;10141;3;011 3852170;011 3828754;parr.s.bernardino@davide.it;http://www.diocesi.torino.it/parr054/;3;5;PRADELLA padre Fedele Gervasio O.F.M.;Chiesa Cattolica;;54;18500;Unita' Pastorale N.05 - S.Paolo;1393449,788;4990758,02
POINT (1396858.839 4991410.101);58;1;PARROCCHIALE;S. Francesco da Paola;VIA PO 16;TORINO;10123;1;011 883605;011 8170144;;http://www4.diocesi.torino.it/schede/parr062.htm;1;2;FARANDA don Sandro;Chiesa Cattolica;;62;4200;Unita' Pastorale N.02 - S.Massimo;1396858,839;4991410,101
POINT (1394700.4 4989204.473);63;1;PARROCCHIALE;S. Giorgio Martire;VIA LAZZARO SPALLANZANI 7;TORINO;10134;1;011 3181460;01119706478;;http://www.sangiorgiomartire.eu/;2;3;BERTOLA don Carlo;Chiesa Cattolica;;67;13500;Unita' Pastorale N.03 - Crocetta;1394700,4;4989204,473
POINT (1393133.267 4987376.599);66;1;PARROCCHIALE;S. Giovanni Bosco;VIA PAOLO SARPI 117;TORINO;10135;2;011 612136;011 611432;"parrocchia@agnelli.it; oratorio@oratorioagnelli.it; cinema@agnelli.it";http://www.oratorioagnelli.it;8;19;RIGO don Giovanni S.D.B.;Chiesa Cattolica;;69;5480;Unita' Pastorale N.19 - Mirafiori Nord;1393133,267;4987376,599
POINT (1396327.751 4995430.628);71;1;PARROCCHIALE;S. Giuseppe Cafasso;CORSO GROSSETO 72/I;TORINO;10148;5;011 2201022;011 2201022;parr.s.cafasso@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr074.htm;5;13;ZUCCHI don Angelo;Chiesa Cattolica;;74;12000;Unita' Pastorale N.13 - Madonna di Campagna;1396327,751;4995430,628
POINT (1390676.65 4986156.021);77;1;PARROCCHIALE;S. Luca Evangelista;VIA CELESTE NEGARVILLE 14;TORINO;10135;2;011 3471300;011 3283490;parrocchiasanluca@davide.it;http://www.parrocchiasanluca.net ;9;20;NOTA don Giuseppe;Chiesa Cattolica;;80;7000;Unita' Pastorale N.20 - Mirafiori sud;1390676,65;4986156,021
POINT (1396743.274 4990721.256);82;1;PARROCCHIALE;S. Massimo Vescovo di Torino;VIA DEI MILLE 28;TORINO;10123;1; 011 882858;011 8126703;;http://www4.diocesi.torino.it/schede/parr085.htm;1;2;MANZO don Franco;Chiesa Cattolica;;85;5500;Unita' Pastorale N.02 - S.Massimo;1396743,274;4990721,256
POINT (1394175.55 4997036.126);86;1;PARROCCHIALE;S. Paolo Apostolo;VIA GIUSEPPE MACHERIONE 23;TORINO;10148;5;011 2260313;011 2260313;;http://www4.diocesi.torino.it/schede/parr089.htm;5;12;CASTAGNERI don Carlo;Chiesa Cattolica;;89;9500;Unita' Pastorale N.12 - Santo Volto;1394175,55;4997036,126
POINT (1392764.841 4991905.806);92;1;PARROCCHIALE;S. Rosa da Lima;VIA BARDONECCHIA 85;TORINO;10139;3;011 386300;;;http://www4.diocesi.torino.it/schede/parr095.htm;3;6;DEPAOLI don Clemente;Chiesa Cattolica;;95;8000;Unita' Pastorale N.06 - Pozzo Strada;1392764,841;4991905,806
POINT (1395584.593 4989308.211);97;1;PARROCCHIALE;Sacro Cuore di Gesu';VIA NIZZA 56;TORINO;10126;8;011 6698650;011 6687979;sacrocuoreparrocchia@libero.it;http://www4.diocesi.torino.it/schede/parr044.htm;2;4;FANTIN don Luciano;Chiesa Cattolica;;44;24000;Unita' Pastorale N.04 - Sacro Cuore;1395584,593;4989308,211
POINT (1395991.848 4990257.77);102;1;PARROCCHIALE;Santi Pietro e Paolo Apostoli;VIA SALUZZO 25 bis;TORINO;10125;8;011 6505176;011 6693085;parr.pietroepaolo@yahoo.it;http://www4.diocesi.torino.it/schede/parr103.htm;2;4;MERGOLA don Mauro S.D.B.;Chiesa Cattolica;;103;14000;Unita' Pastorale N.04 - Sacro Cuore;1395991,848;4990257,77
POINT (1397408.655 4991918.75);107;1;PARROCCHIALE;SS. Nome di Gesu';CORSO REGINA MARGHERITA 68 scala D;TORINO;10153;7;011 4360150;;;http://www4.diocesi.torino.it/schede/parr106.htm;6;16;LUPARIA don Benito;Chiesa Cattolica;;106;8370;Unita' Pastorale N.16 - Santa Croce;1397408,655;4991918,75
POINT (1394156.699 4993614.244);110;1;PARROCCHIALE;Trasfigurazione del Signore;VIA SPOLETO 12;TORINO;10143;4;011 756718;011 756718;parr.trasfigurazione@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr109.htm;5;9;TICCHIATI don Maurizio;Chiesa Cattolica;;109;3490;Unita' Pastorale N.09 - S.Alfonso;1394156,699;4993614,244
POINT (1396028.171 4992312.065);114;2;NON PARROCCHIALE;Consolata - Santuario Basilica;PIAZZA DELLA CONSOLATA 9/C;TORINO;10122;1;011/4363235;;;;;;;Chiesa Cattolica;"Fest.6.30-8-9-10-11-12-16 (escl.lug-set)-18.15-19.30; Prefest.18.15";;;;1396028,171;4992312,065
POINT (1396086.241 4991939.747);116;2;NON PARROCCHIALE;Cappella dei mercanti (Epifania del Signore);VIA GIUSEPPE GARIBALDI 25;TORINO;10122;1;011/5627226;;;;;;;Chiesa Cattolica;Fest.11;;;;1396086,241;4991939,747
POINT (1399486.846 4991329.487);119;2;NON PARROCCHIALE;Gesu' (Chiesa del);VIA LOMELLINA 44;TORINO;10132;7;011/8998810;;;;;;;Chiesa Cattolica;"Fest.18.15; Prefest.18.15";;;;1399486,846;4991329,487
POINT (1395778.275 4989872.664);121;2;NON PARROCCHIALE;Immacolata Concezione;VIA NIZZA 47;TORINO;10125;8;011/6505551;;;;;;;Chiesa Cattolica;Fest.10.30 (escl.lug-ago);;;;1395778,275;4989872,664
POINT (1397415.467 4990162.993);123;2;NON PARROCCHIALE;Madonna del Buon Consiglio;VIA CURTATONE 17;TORINO;10131;8;011/6604386;;;;;;;Chiesa Cattolica;Fest.7.30-10.30;;;;1397415,467;4990162,993
POINT (1394550.135 4989936.35);125;2;NON PARROCCHIALE;Maria SS.Ausiliatrice;VIA GIUSEPPE PIAZZI 25;TORINO;10129;1;011/5819723;;;;;;;Chiesa Cattolica;"Fest.8-9.15 (escl.18/6-9/9)-10.30-11.30-18.30; Prefest.18.30";;;;1394550,135;4989936,35
POINT (1393447.337 4989467.159);128;2;NON PARROCCHIALE;Maria Consolatrice;VIA CAPRERA 46;TORINO;10136;2;011/390538;;;;;;;Chiesa Cattolica;Fest.8-11(escl.lug-ago);;;;1393447,337;4989467,159
POINT (1398204.151 4991128.284);130;2;NON PARROCCHIALE;Maria Janua Coeli (Casa Riposo C. Alberto);CORSO CASALE 56;TORINO;10131;8;011/4428211;;;;;;;Chiesa Cattolica;"Fest.10; Prefet.17";;;;1398204,151;4991128,284
POINT (1395880.754 4991956.307);132;2;NON PARROCCHIALE;Misericordia;VIA GIUSEPPE BARBAROUX 41;TORINO;10122;1;011/537784;;;;;;;Chiesa Cattolica;Fest.11;;;;1395880,754;4991956,307
POINT (1398175.002 4990558.687);134;2;NON PARROCCHIALE;N.S. del Rocciamelone (Oasi S. Chiara);VIA LUISA DEL CARRETTO 6;TORINO;10131;8;011/8194523;;;;;;;Chiesa Cattolica;Fest.8;;;;1398175,002;4990558,687
POINT (1394596.722 4992286.428);137;2;NON PARROCCHIALE;N.S. di Lourdes;CORSO FRANCIA 29;TORINO;10138;3;011/4472368;;;;;;;Chiesa Cattolica;"Fest.8-10.30-12(escl.lug-ago)-18; Prefest.18";;;;1394596,722;4992286,428
POINT (1394264.866 4985720.114);140;2;NON PARROCCHIALE;S. Andrea Apostolo;VIA TORRAZZA PIEMONTE 25;TORINO;10127;2;011/6053672;;;;;;;Chiesa Cattolica;Fest.10.30(escl. ago.);;;;1394264,866;4985720,114
POINT (1394984.263 4991463.795);142;2;NON PARROCCHIALE;S. Antonio di Padova;VIA S. ANTONIO DA PADOVA 7;TORINO;10121;1;011/5621917;;;;;;;Chiesa Cattolica;"Fest. 9.30-11.30-17.30; Prefest.17.30";;;;1394984,263;4991463,795
POINT (1396260.346 4992079.85);146;2;NON PARROCCHIALE;S. Domenico;VIA S. DOMENICO 0;TORINO;10122;1;011/5229711;;;;;;;Chiesa Cattolica;"Fest.10-18; Prefest.18";;;;1396260,346;4992079,85
POINT (1396140.141 4991773.887);148;2;NON PARROCCHIALE;S. Francesco d'Assisi;VIA S. FRANCESCO D'ASSISI 11;TORINO;10122;1;011/5628474;;;;;;;Chiesa Cattolica;"Fest.19.15; Prefest.18.45";;;;1396140,141;4991773,887
POINT (1391349.956 4993078.099);150;2;NON PARROCCHIALE;S. Giovanna Francesca de Chantal;VIA PAOLO PIO PERAZZO 7;TORINO;10146;4;;;;;;;;Chiesa Cattolica;;;;;1391349,956;4993078,099
POINT (1396084.391 4991554.852);153;2;NON PARROCCHIALE;S. Giuseppe (Padri Camilliani);VIA S. TERESA 22/B;TORINO;10121;1;011/5628093;;;;;;;Chiesa Cattolica;"Fest. 10.30-18.45; Prefest.18.45";;;;1396084,391;4991554,852
POINT (1396472.943 4991819.458);155;2;NON PARROCCHIALE;S. Lorenzo;VIA PALAZZO DI CITTA' 4;TORINO;10122;1;011/4361527;;;;;;;Chiesa Cattolica;"Fest. 9.30-11-12 (escl. ago) -18.30-21; Prefest. 18.30";;;;1396472,943;4991819,458
POINT (1395450.2 4988364.981);159;2;NON PARROCCHIALE;S. Michele Arcangelo;VIA GENOVA 8 bis/A;TORINO;10126;8;011/6964160;;;;;;;Chiesa Cattolica;Fest. 9-11-17 (escl. lug-ago);;;;1395450,2;4988364,981
POINT (1398549.803 4996986.374);161;2;NON PARROCCHIALE;S. Michele Arcangelo (succursale);CORSO VERCELLI 483 int. 1;TORINO;10156;6;;;;;;;;Chiesa Cattolica;;;;;1398549,803;4996986,374
POINT (1396188.806 4991863.301);163;2;NON PARROCCHIALE;S. Rocco (Confraternita);VIA S. FRANCESCO D'ASSISI 1;TORINO;10122;1;011/535323;;;;;;;Chiesa Cattolica;Fest, 10.30;;;;1396188,806;4991863,301
POINT (1396190.073 4991474.201);166;2;NON PARROCCHIALE;S. Teresa di Gesu';PIAZZETTA S. TERESA 5;TORINO;10121;1;011/538278;;;;;;;Chiesa Cattolica;"Fest. 9-11-19-21; Prefest. 17.30";;;;1396190,073;4991474,201
POINT (1396372.405 4991923.374);169;2;NON PARROCCHIALE;Spirito Santo;VIA PORTA PALATINA 9;TORINO;10122;1;011/4361050;;;;;;;Chiesa Cattolica;;;;;1396372,405;4991923,374
POINT (1394893.999 4989672.629);170;2;NON PARROCCHIALE;SS. Annunziata e SS. Maurizio e Lazzaro (Osp.Mauriziano);LARGO RE UMBERTO 109;TORINO;10128;1;011/50801;;;;;;;Chiesa Cattolica;"Fest. 11.30-17; Prefest, 17";;;;1394893,999;4989672,629
POINT (1398719.461 4990895.922);173;2;NON PARROCCHIALE;SS. Redentore;STRADA VAL S. MARTINO 7;TORINO;10131;7;;;;;;;;;;;;;1398719,461;4990895,922
POINT (1403047.214 4992660.905);175;2;NON PARROCCHIALE;Basilica di Superga - Nativita' di Maria Vergine;STRADA DELLA BASILICA DI SOPERGA 73;TORINO;10132;7;011/8980083;;;;;;;Chiesa Cattolica;"Fest.10-11-12-17 (ora sol.) - 18 (ora leg.); Prefest.17 (ora sol.) - 18 (ora leg.)";;;;1403047,214;4992660,905
POINT (1395833.141 4992304.523);243;2;NON PARROCCHIALE;SS. Sudario;VIA PIAVE 14;TORINO;10122;1;011/4365832;;;;;;;Chiesa Cattolica;1¿ domenica del mese: 9.30;;;;1395833,141;4992304,523
POINT (1395074.999 4987285.834);302;2;NON PARROCCHIALE;Nativita' di Maria SS.;VIA SPOTORNO 43;TORINO;10126;8;0116964150;;;;;;;Chiesa Cattolica;;;;;1395074,999;4987285,834
POINT (1391262.055 4991590.932);76;1;PARROCCHIALE;S. Leonardo Murialdo;VIA CHAMBERY 46;TORINO;10142;3;011 720039;;parr.murialdo@diocesi.torino.it;http://www.diocesi.torino.it/parr079;3;7;VOLATERRA don Roberto;Chiesa Cattolica;;79;6300;Unita' Pastorale N.07 - Murialdo;1391262,055;4991590,932
POINT (1392322.389 4990928.609);8;1;PARROCCHIALE;Gesu' Buon Pastore;VIA MONTE VODICE 11;TORINO;10141;3;011 389939;;gbp@parrocchie.it;http://www.parrocchie.it/torino/gesubp;3;6;JALLA don Giorgio;Chiesa Cattolica;;8;13000;Unita' Pastorale N.06 - Pozzo Strada;1392322,389;4990928,609
